Fleet	Registration	Operating Division	Livery/Brand	Tacho Type	WI-FI	Router supplier	Model	Make	Body	Chassis Type	Chassis No	Engine No	Euro Cat	CCTV	Destination Type	Front Size	Side Size	Rear Size	Body No	Seated	Standing	Registered	O Licence No
2	YN56 FBG	Newbury	Vodafone	Digital	Y	Icomera	M220	Scania	Omnicity	CN270UB	YS2N4X20001855452	6293506	Euro 4	Synectics T800	Hanover Colour	160 x 19	96 x 8	32 x 17	411758	41	28	27/09/2006	103389
4	YN56 FBK	Newbury	Vodafone	Digital	Y	Icomera	M220	Scania	Omnicity	CN270UB	YS2N4X20001855454	6293530	Euro 4	Synectics T800	Hanover Colour	160 x 19	96 x 8	32 x 17	411760	41	28	29/09/2006	103391
21	YN17 ONF	Newbury	Vodafone	Digital				Scania	Irizar		YS2K4X20001901094		Euro 6										103476
22	YN17 ONG	Newbury	Vodafone	Digital				Scania	Irizar		YS2K4X20001901087		Euro 6										103561
23	YN17 ONH	Newbury	Vodafone					Scania	Irizar		YS2K4X20001901083	6972123	Euro 6									16/03/2017	103498
24	YN17 ONJ	Newbury	Vodafone					Scania	Irizar		YS2K4X20001901080	6972100	Euro 6									16/03/2017	103502
25	YN17 ONK	Newbury	Vodafone					Scania	Irizar		YS2K4X20001901104	6972638	Euro 6									16/03/2017	103598
26	YN17 ONL	Newbury	Vodafone					Scania	Irizar		YS2K4X20001901097		Euro 6										103497
131	YX63 LGU	Reading	Woodley 19		Y	Icomera	M220	Dennis	Enviro 200	Alexander Dennis	SFD1D1AR6D9Y13723	22080228	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17	D202/02	30	34	04/10/2013	103398
132	YX63 LGV	Reading	Woodley 19		Y	Icomera	M220	Dennis	Enviro 200	Alexander Dennis	SFD1D1AR6D9Y13724	22080221	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17	D202/03	30	34	04/10/2013	103397
133	YX63 LGW	Reading	White TBC		Y	Icomera	M220	Dennis	Enviro 200	Alexander Dennis	SFD1D1AR6DGY13725	22083387	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17	D202/04	30	34	04/10/2013	103400
134	YX63 LGY	Reading	White TBC		Y	Icomera	M220	Dennis	Enviro 200	Alexander Dennis	SFD1D1AR6DGY13726	22083391	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17	D202/05	30	34	04/10/2013	103399
161	RE63 EOF	Newbury	Kennections		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141174	22060249	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	38	19/12/2013	103532
162	RE63 EOG	Newbury	Kennections		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141173	2206252	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	38	19/12/2013	103531
163	RE63 EOH	Reading	Pink 27/29		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141175	22061136	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	38	19/12/2013	103570
164	RE63 EOJ	Newbury	Kennections		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141177	22060258	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	38	19/12/2013	103569
165	RE63 EOK	Newbury	Kennections		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141176	22061141	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17	AH223	35	38	19/12/2013	103571
166	SN14 FGO	Newbury	Kennections		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX12141181	22060262	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	37	01/06/2014	103545
167	SN14 FGP	Reading	Woodley 19		Y	Icomera	M220	Wrightbus	Streetlite DF	Wrightbus	SA9DSRXXX13141182	22061699	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	32 x 17		35	37	01/06/2014	103547
183	RG05 BUS	Reading	Generic					Optare	Solo		SAB19000000002050	84127871	Euro 5							32		01/08/2005	103596
184	YM55 SVJ	Reading	tbc		Y			Optare	Solo		SAB19000000002146	84128135	Euro 5							37	18	10/02/2006	103595
186	RG55 BUS	Reading	Generic		Y			Optare	Solo		SAB19000000002186	84128128	Euro 5							37	18	17/02/2006	103597
191	YJ66 AEW	Newbury	Vodafone					Optare	Solo	Optare	SABLDJ2AXGS291423	933951C0083055	Euro 6	Synectics T2600	Hanover					29	25	19/12/2016	103513
192	YJ66 AEX	Newbury	Vodafone					Optare	Solo	Optare	SABLDJ2AXGS291424	933951C0083050	Euro 6	Synectics T2600	Hanover					29	25	19/12/2016	103475
193	YJ66 AEY	Newbury	Vodafone					Optare	Solo	Optare	SABLDJ2AXGS291425	933951C0066163	Euro 6	Synectics T2600	Hanover					29	25	19/12/2016	103495
194	YJ66 AEZ	Newbury	Vodafone					Optare	Solo	Optare	SABLDJ2AXGS291426	933951C0082053	Euro 6	Synectics T2600	Hanover					29	25	19/12/2016	103508
201	MRD 1	Reading	Yellow 26	Digital	Y	Icomera	M310	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHAGX35593	21956760	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/6	78	9	05/12/2010	103407
202	SN60 ECX	Reading	Yellow 26		Y	Icomera	M310	Dennis	Enviro 400	Alexander Dennis	SDF6BRBRHAGX35578	21961949	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/1	78	9	02/12/2010	103410
203	SN60 ECY	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SDF6BRBRHAGX35579	21958750	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/2	78	9	02/12/2010	103409
204	SN60 EDC	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SDF6BRBRHAGX35580	21960015	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/3	78	9	02/12/2010	103412
205	SN60 EDF	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SDF6BRBRHAGX35581	21958290	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/4	78	9	02/12/2010	103411
206	SN60 EDK	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHAGX35582	21956765	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	A414/5	78	9	05/12/2010	103414
207	SN11 BVM	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX63009	21991913	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	B4081	78	9	12/07/2011	103413
208	SN11 BVO	Reading	Purple 17	Digital	Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36032	21994612	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	B40811	78	9	04/08/2011	103416
209	SN11 BVP	Reading	Lion	Digital	Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36033	21995473	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	B40812	78	9	04/08/2011	103415
210	SN11 BVR	Reading	Yellow 26		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36010	21991912	Euro 5	Synectics T1000	Hanover	144 x 19	96 x 8	128 x 17	B4082	78	9	12/07/2011	103418
211	SN11 BVS	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36011	21981415	Euro 5	Synectics T1000	Hanover	145 x 19	97 x 8	129 x 17	B4083	78	9	12/07/2011	103417
212	SN11 BVT	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36012	21991910	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4084	78	9	12/07/2011	103420
213	SN11 BVU	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36013	21981419	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4085	78	9	12/07/2011	103419
214	SN11 BVV	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36014	21981422	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4086	78	9	28/07/2011	103422
215	SN11 BVW	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36015	21995470	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4087	78	9	12/07/2011	103421
216	SN11 BVX	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36016	21995468	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4088	78	9	28/07/2011	103424
217	SN11 BVY	Reading	Lion		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36017	21994617	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4089	78	9	28/07/2011	103423
218	SN11 BVZ	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36018	21994614	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B40810	78	9	28/07/2011	103426
219	SN61 BAA	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36020	21993709	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4091	78	9	14/09/2011	103425
220	SN61 BAO	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36021	21998387	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4092	78	9	14/09/2011	103428
221	SN61 BAU	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36022	22000190	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4093	78	9	14/09/2011	103427
222	SN61 BAV	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36023	22001974	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4094	78	9	14/09/2011	103430
223	SN61 BCO	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36024	22001968	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4095	78	9	14/09/2011	103429
224	SN61 BCU	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36025	22001966	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4096	78	9	14/09/2011	103432
225	SN61 BCV	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36026	22003028	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4097	78	9	14/09/2011	103431
226	SN61 BCX	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36027	22002950	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4098	78	9	14/09/2011	103434
227	SN61 BCY	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36028	22001972	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B4099	78	9	14/09/2011	103433
228	SN61 BCZ	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36029	22003024	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B40910	78	9	29/09/2011	103436
229	SN61 BDE	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36030	22002954	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B40911	78	9	29/09/2011	103435
230	SN61 BDF	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36019	21993705	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B40912	78	9	29/09/2011	103438
231	SN61 BDO	Reading	Purple 17		Y	Icomera	M220	Dennis	Enviro 400	Alexander Dennis	SFD6BRBRHBGX36031	22002957	Euro 5	Synectics T1000	Hanover	146 x 19	98 x 8	130 x 17	B40913	78	9	29/09/2011	103437
232	SN16 OGT	Reading	Generic		Y			Dennis	Enviro 400	Alexander Dennis	SFD4GZBRDDGXD7388	89077817	Euro 6							75	12	02/03/2016	103504
310	S516 JJH	Reading	Training bus					Dennis	Dart	SLF	SFD322BR1WGW12153	21296326	Euro 2									17/09/1998	
312	LG02 FFK	Reading	Training bus					Dennis	Dart	SLF	SFD2BACR32GW16448	21502652	Euro 3						0191/1			01/06/2002	
313	LG02 FGA	Reading	Training bus					Dennis	Dart	SLF	SFD2BACR32GW16496	21511324	Euro 3									01/06/2002	
401	YR13 PLN	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883242	6739991	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17		42	28	18/04/2013	103440
402	YR13 PLO	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883525	6743681	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/5	42	28	26/04/2013	103439
403	YR13 PLU	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883507	6743369	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/10	42	28	26/04/2013	103442
404	YR13 PNE	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883510	6743390	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17		42	28	26/04/2013	103441
405	YR13 PLX	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883482	6742696	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17		42	28	18/04/2013	103444
406	YR13 PNJ	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883529	6743710	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/4	42	28	26/04/2013	103443
407	YR13 PMO	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883522	6743467	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17		42	28	26/04/2013	103446
408	YR13 PMU	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883505	6743654	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17		42	28	26/04/2013	103445
409	YR13 PNN	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883479	6742633	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/2	42	28	22/04/2013	103448
